App_Name,Company_Name,Page_URL,Official_website,Email,Address,Privacy_policy,Name,Time,Star_rating,Helpful,Comments,Developer_Reply
Grab - Taxi & Food Delivery,Grab Holdings,https://play.google.com/store/apps/details?id=com.grabtaxi.passenger&hl=en,https://grab.com/,support@grab.com,,https://www.grab.com/privacy,Vicky El,"February 9, 2025",4.0,4.0,"This app is not quite perfect but is probably the best among the options with the many features that it offers. The response time is decent, if you have good signal and WiFi connection. Some issues may have something to do with the wireless infrastructure, not necessarily Grab's. One example is paying with a foreign credit card. you need to give yourself time or try getting a local SIM or use portable pocket WiFi.",
Grab - Taxi & Food Delivery,Grab Holdings,https://play.google.com/store/apps/details?id=com.grabtaxi.passenger&hl=en,https://grab.com/,support@grab.com,,https://www.grab.com/privacy,Howard Clerf,"December 4, 2024",2.0,32.0,"This app used to work very well, but after the last update we have had several problems. 1st problem is that it will not allow me to pay for a Grab Unlimited subscription, but it will tell me on each ride how much I could save by subscribing. 2nd problem happened today. Says I need to pay for my last ride, but my cc has been charged and I received a receipt by email. Now I can't get a live agent to resolve a credit card issue!",
Grab - Taxi & Food Delivery,Grab Holdings,https://play.google.com/store/apps/details?id=com.grabtaxi.passenger&hl=en,https://grab.com/,support@grab.com,,https://www.grab.com/privacy,Olya Noskova,"February 2, 2025",1.0,36.0,"Grab sucks. The app sucks. I made 2 orders, the restaurants didn't accept them, but I have to wait for the system to cancel them. Once I waited 1.5 hours!!! Make a chat with the restaurant or your agent to quickly resolve these issues, instead of waiting until it becomes known after 1.5-2 hours that the restaurant is long closed. The support sucks. The same problem with taxi.",
Grab - Taxi & Food Delivery,Grab Holdings,https://play.google.com/store/apps/details?id=com.grabtaxi.passenger&hl=en,https://grab.com/,support@grab.com,,https://www.grab.com/privacy,Hyacinth Jimenez,"December 28, 2024",2.0,72.0,"This app is frustrating to use and not very user intuitive. After you have ordered a car, it is impossible to zoom in on your pick up location to check your own location in reference to it. There are an annoying amount of notifications. Using it because I'm overseas and this is one of the most used ride share apps where I am.",
Grab - Taxi & Food Delivery,Grab Holdings,https://play.google.com/store/apps/details?id=com.grabtaxi.passenger&hl=en,https://grab.com/,support@grab.com,,https://www.grab.com/privacy,Adrian N,"November 25, 2024",1.0,62.0,"New review: Grab express is useless. You pay more for same day shipping, yet package was never delivered and the driver couldn't be contacted. Low quality drivers is aplenty. Old review: Practically useless. You can wait for hours, but there will be no drivers picking up despite there are plenty of car icons on the map. What's the point of this app again? Lately, I never able to book every time I tried this app.",
Grab - Taxi & Food Delivery,Grab Holdings,https://play.google.com/store/apps/details?id=com.grabtaxi.passenger&hl=en,https://grab.com/,support@grab.com,,https://www.grab.com/privacy,Brandon Peh,"October 16, 2024",1.0,253.0,"Amazing app design. Keeps giving me cars who are 20-30 minutes away, and then when I cancel because it keeps doing the same thing 4 times in a row, I get locked out for 24 hours. Such a great thing to see when I urgently need to get somewhere and have no other options. As a Platinum user, I'm telling you, don't use this app. Also wow thanks for having the UI take up more than half the screen so that if I want to zoom in on the map I can only use the top 1/3 of my screen.",
Grab - Taxi & Food Delivery,Grab Holdings,https://play.google.com/store/apps/details?id=com.grabtaxi.passenger&hl=en,https://grab.com/,support@grab.com,,https://www.grab.com/privacy,Tino,"November 2, 2024",1.0,150.0,"Great to find a ride, careful with adding your credit card. After adding my credit card, I was immediately charged rides that I never made. I always paid rides in cash before. On the next ride the driver overcharged me and I had to contact support. Make sure to note the fare on the meter or don't add a credit card. Support resolved all issues within a few days, it was just an unnecessary waste of time. Updated from 3 to 1 star because I'm constantly being overcharged and it's annoying.",
Grab - Taxi & Food Delivery,Grab Holdings,https://play.google.com/store/apps/details?id=com.grabtaxi.passenger&hl=en,https://grab.com/,support@grab.com,,https://www.grab.com/privacy,Tuan-Ngoc Phan,"September 26, 2024",2.0,131.0,"I used to use this app a lot but recently the experience has gone downhill. Price increase and the absolute lack of customer support. If anything happens to your delivery (delay, no driver, etc.) they will make you wait for a long time and refuse to let you cancel your order and get your food from elsewhere. What's worse is that you can't talk to a human customer support and they will keep sending you in loops through useless FAQ pages that don't solve your problem.",
Grab - Taxi & Food Delivery,Grab Holdings,https://play.google.com/store/apps/details?id=com.grabtaxi.passenger&hl=en,https://grab.com/,support@grab.com,,https://www.grab.com/privacy,韦斯利,"October 16, 2024",1.0,66.0,"Charges for leaving you standing in the rain. No way to contact customer service. No communication whatsoever. Food delivery service is no better. once you order, you can't cancel, even if it takes forty minutes for a driver to respond. The app won't cancel the order when there are no drivers. It won't allow you to cancel either. The drivers say they can't cancel the order either. Grab has become a straight up scam.",Grab luôn tìm cách cải thiện trải nghiệm của bạn một cách tốt nhất 🙇🏻‍♂️ Nếu có bất kỳ sự cố cụ thể nào Grab có thể kiểm tra cho bạn. Hãy cho Grab biết bằng cách liên hệ qua Facebook: http://m.me/GrabVN nha ✨ Grab rất vui khi có thể nhận được lại 5 sao từ bạn 🥰 - Harry.
Grab - Taxi & Food Delivery,Grab Holdings,https://play.google.com/store/apps/details?id=com.grabtaxi.passenger&hl=en,https://grab.com/,support@grab.com,,https://www.grab.com/privacy,Blaise Vitale,"October 29, 2024",1.0,66.0,"I installed this app and went through all of the verification steps prior to arriving in Singapore. My travel agent had recommended this app even though a local tour guide recommended a rival app - Tada. When I went ahead and booked a ride, the app worked fine. However, the driver made me pay in cash, and my credit card was charged again! Grab has not responded to my concern. I have a perfect 5.0 passenger rating with Uber. I don't want to use this service again!",
